route_id,route_short_name,direction_id,stop_sequence,stop_id,stop_lat,stop_lon,dist_traveled,stop_point
60-150-d12-1,150,0,25,8220DB002320,53.31588722,-6.317011266000001,7354.169181182479,POINT (712139.9999778426 730833.9996634666)
60-150-d12-1,150,0,26,8220DB002321,53.31340484,-6.3200805739999995,7701.038839575759,POINT (711941.9999786274 730552.9997098665)
60-150-d12-1,150,0,27,8220DB002322,53.31023749,-6.32110538,8072.595919429109,POINT (711882.0000096763 730198.9997635934)
60-150-d12-1,150,0,28,8220DB006163,53.30954009,-6.320727561,8153.249499634829,POINT (711909.0000064764 730121.9999320303)
60-150-d12-1,150,0,29,8230DB001095,53.30691417,-6.319990288,8483.32580426135,POINT (711964.9999842055 729830.9995303039)
60-150-d12-1,150,0,30,8230DB001096,53.30604427,-6.321404967,8624.18454578811,POINT (711873.0000248674 729731.9996334686)
60-150-d12-1,150,0,31,8230DB001097,53.30306175,-6.322152158,8969.384728426841,POINT (711830.9999879575 729398.9995568977)
60-150-d12-1,150,0,32,8230DB001099,53.30127238,-6.323377622000001,9184.95854181358,POINT (711754.0000243001 729197.9997073051)
60-150-d12-1,150,0,33,8230DB006132,53.29563615,-6.323328362000001,9942.172052714941,POINT (711771.9999942558 728570.9995612209)
60-150-d12-1,150,0,34,8230DB004861,53.29663926,-6.3211587279999994,10208.328865338399,POINT (711914.0000210507 728685.9999832771)
60-150-d12-1,150,0,35,8230DB004862,53.29920507,-6.319542749,10563.5204093563,POINT (712015.0000203248 728973.9997683377)
60-155-b12-1,155,0,1,8220DB007698,53.40637877,-6.27607899,0.0,POINT (714624.0000102193 740967.0005064597)
60-155-b12-1,155,0,2,8220DB007113,53.40254107,-6.264924263999999,1077.62502810415,POINT (715375.9999907493 740558.0002347487)
60-155-b12-1,155,0,3,8220DB000127,53.39910753,-6.263680428,1474.7296237793698,POINT (715468.0000172443 740177.9999466562)
60-155-b12-1,155,0,4,8220DB000112,53.3961544,-6.26395104,1803.9610149892899,POINT (715458.0000242589 739848.9998281853)
60-155-b12-1,155,0,5,8220DB000113,53.39226796,-6.263703255,2237.16138168238,POINT (715484.9999841475 739416.9996735808)
60-155-b12-1,155,0,6,8220DB000114,53.39133332,-6.263711229,2341.18061067394,POINT (715487.0000223501 739312.9997715615)
60-155-b12-1,155,0,7,8220DB000115,53.38788368,-6.26506944,2726.56628170275,POINT (715406.0000037986 738926.9995404179)
60-155-b12-1,155,0,8,8220DB000037,53.3853464,-6.264886981,3019.73065053286,POINT (715425.000024382 738644.999867405)
60-155-b12-1,155,0,9,8220DB000038,53.38223659,-6.265509521,3368.27994855813,POINT (715392.0000249036 738297.9995368206)
60-155-b12-1,155,0,10,8220DB000039,53.38041419,-6.265658759,3571.34151557661,POINT (715386.9999960919 738095.0003411431)
60-155-b12-1,155,0,11,8220DB000040,53.37666077,-6.264668969,3995.5175283934004,POINT (715462.99995629 737679.0005051186)
60-155-b12-1,155,0,12,8220DB000146,53.375371400000006,-6.265006969,4140.04339080651,POINT (715443.9999642227 737535.0002320514)
60-155-b12-1,155,0,13,8220DB000147,53.37248023,-6.2658308620000005,4468.46528286595,POINT (715396.9999980624 737212.0004184232)
60-155-b12-1,155,0,14,8220DB000184,53.36970368,-6.268979354,4841.14598243784,POINT (715195.0000385768 736897.99977996)
60-155-b12-1,155,0,15,8220DB000185,53.36810094,-6.270021139,5033.91786835484,POINT (715130.000007668 736718.0004467589)
60-155-b12-1,155,0,16,8220DB000186,53.36535534,-6.271589978,5357.96483752476,POINT (715032.9999772337 736409.9997058505)
60-155-b12-1,155,0,17,8220DB000187,53.36273425,-6.272447365,5653.1427977003395,POINT (714983.0000288747 736116.9997376762)
60-155-b12-1,155,0,18,8220DB000188,53.36012069,-6.272583149,5951.07514248979,POINT (714981.0000039506 735826.0002497196)
60-155-b12-1,155,0,19,8220DB000189,53.35716744,-6.273468816,6285.90469561222,POINT (714929.9999688999 735496.0000559512)
60-155-b12-1,155,0,20,8220DB000190,53.35512573,-6.273371074,6513.30636723049,POINT (714942.0000015008 735268.9999536413)
60-155-b12-1,155,0,21,8220DB000191,53.35507685,-6.269376922999999,6908.866957360079,POINT (715208.000015787 735269.999496334)
60-155-b12-1,155,0,22,8220DB000819,53.35630402,-6.265991986,7309.1500568744705,POINT (715429.9999821777 735411.9999047973)
60-155-b12-1,155,0,23,8220DB000264,53.3535353,-6.2622586270000005,7828.7331208632995,POINT (715685.9999950506 735109.9997022385)
60-155-b12-1,155,0,24,8220DB006059,53.35020756,-6.260260969,8224.74056114997,POINT (715828.0000077036 734743.0003074609)
60-155-b12-1,155,0,25,8220DB000334,53.34658116,-6.258125591000001,8660.37689075515,POINT (715979.9999978356 734343.0004221457)
60-155-b12-1,155,0,26,8220DB000406,53.34261644,-6.256214637999999,9333.88503623581,POINT (716117.9999829896 733904.9995230166)
60-155-b12-1,155,0,27,8220DB000747,53.3399308,-6.255723519,9709.524074619909,POINT (716157.9999906451 733606.9996626864)
60-155-b12-1,155,0,28,8220DB000842,53.33725198,-6.256313389,10065.5448598673,POINT (716126.0000000863 733308.0005556628)
60-155-b12-1,155,0,29,8220DB000845,53.33545345,-6.256251617999999,10303.8091989433,POINT (716135.0000053553 733108.000504792)
60-155-b12-1,155,0,30,8220DB000846,53.33345373,-6.2541109079999995,10567.1163922413,POINT (716283.0000400356 732888.9996667402)
60-155-b12-1,155,0,31,8220DB000847,53.33160145,-6.25221962,10807.730605975,POINT (716413.9999636387 732686.0005373408)
60-155-b12-1,155,0,32,8220DB000848,53.32972799,-6.248887998,11130.5652982666,POINT (716641.0000258654 732482.9999095536)
60-155-b12-1,155,0,33,8220DB002795,53.32852998,-6.246264621,11352.525281833301,POINT (716819.0000014034 732354.0000727522)
60-155-b12-1,155,0,34,8220DB000756,53.32639976,-6.242598747000001,11694.235315933602,POINT (717068.9999850962 732122.9998013793)
60-155-b12-1,155,0,35,8220DB000757,53.32408134,-6.23958651,12021.259779850201,POINT (717275.9999828383 731870.0003158577)
60-155-b12-1,155,0,36,8220DB000758,53.32268694,-6.23767738,12221.6935506722,POINT (717407.0000368577 731717.9996719059)
60-155-b12-1,155,0,37,8220DB000759,53.32034885,-6.233345517,12618.9950825827,POINT (717701.9999914846 731464.9999057377)
60-155-b12-1,155,0,38,8220DB000760,53.31833019,-6.230561956,12911.7881668788,POINT (717892.9999878875 731245.0003015019)
60-155-b12-1,155,0,39,8220DB000761,53.316100399999996,-6.227487214,13233.611099560701,POINT (718103.9999826833 731001.9999105611)
60-155-b12-1,155,0,40,8220DB000762,53.31451706,-6.2243709439999995,13513.548399823201,POINT (718316.0000177389 730830.9994604471)
60-155-b12-1,155,0,41,8220DB000763,53.31232014,-6.221100319,13841.878520583701,POINT (718540.0000186007 730591.9994678367)
60-155-b12-1,155,0,42,8250DB002007,53.30887504,-6.216111205,14362.224862192901,POINT (718881.9999917983 730216.9998838346)
60-155-b12-1,155,0,43,8250DB002008,53.305600399999996,-6.211115757000001,14856.0599976868,POINT (719224.0000081445 729860.9996795258)
60-155-b12-1,155,0,44,8250DB002009,53.30329556,-6.207866002,15190.2455748741,POINT (719447.0000149626 729609.999797478)
60-155-b12-1,155,0,45,8250DB002010,53.29889724,-6.20467441,15726.2437518714,POINT (719672.0000177301 729125.9998517163)
60-155-b12-1,155,0,46,8250DB000435,53.29598904,-6.203746226,16056.74092768,POINT (719742.0000321999 728803.9995631495)
60-155-b12-1,155,0,47,8250DB007353,53.29349573,-6.201720633,16371.0741110065,POINT (719883.9999714326 728530.0001256946)
60-155-b12-1,155,0,48,8250DB004571,53.28897905,-6.194875357999999,17050.017059887,POINT (720353.0000114674 728038.9997571583)
60-155-b12-1,155,0,49,8250DB002013,53.28531453,-6.194459898,17460.1598807303,POINT (720391.0000009413 727632.0001060695)
60-155-b12-1,155,0,50,8250DB002014,53.28211826,-6.192914933,17839.8314955038,POINT (720502.9999549401 727279.0005003865)
60-155-b12-1,155,0,51,8250DB004636,53.28069152,-6.19011069,18094.2787375968,POINT (720693.9999702994 727124.9999088615)
60-155-b12-1,155,0,52,8250DB002016,53.27820873,-6.184067149,18583.044317769498,POINT (721104.0000348458 726858.9997636507)
60-155-b12-1,155,0,53,8250DB002015,53.27553484,-6.179067107000001,19028.5248156847,POINT (721445.0000253957 726569.9996805959)
60-155-b12-1,155,0,54,8250DB002017,53.27419654,-6.175015407,19344.7071464542,POINT (721718.9999847746 726427.9994517992)
60-155-b12-1,155,0,55,8250DB003259,53.27283367,-6.171714725,19610.2213542304,POINT (721942.9999833738 726281.9995502935)
60-155-b12-1,155,0,56,8250DB007361,53.270416299999994,-6.165895433999999,20086.6161501344,POINT (722338.0000131752 726022.9995988916)
60-155-b12-1,155,0,57,8250DB007362,53.26593943,-6.157691547000001,20828.154070040502,POINT (722897.9999815302 725538.9998054825)
60-155-b12-1,155,0,58,8250DB003129,53.26245527,-6.150360925,21453.9543576723,POINT (723396.999974077 725164.0002141442)
60-155-b12-1,155,0,59,8250DB003130,53.25860364,-6.146015318,21980.15933621,POINT (723697.9999943618 724742.9995301481)
60-155-b12-1,155,0,60,8250DB003131,53.255517000000005,-6.145204556,22328.281441224903,POINT (723760.9999994359 724401.0001575015)
60-155-b12-1,155,0,61,8250DB003132,53.25271382,-6.142972818,22675.8434956493,POINT (723917.9999917175 724093.0000539578)
60-155-b12-1,155,0,62,8250DB003133,53.25038947,-6.14090044,22969.3743267975,POINT (724063.0000206793 723838.0003047143)
60-155-b12-1,155,0,63,8250DB003134,53.2469068,-6.136031335,23479.5056364494,POINT (724398.0000326096 723458.9994986233)
60-155-b12-1,155,0,64,8250DB003135,53.24292904,-6.130555257,24057.060003477796,POINT (724775.0000274526 723025.9999969834)
60-155-b12-1,155,0,65,8250DB003136,53.23773734,-6.127350617,24709.4461606909,POINT (725003.9999648522 722454.0005018167)
60-155-b12-1,155,0,66,8250DB003138,53.23435261,-6.124741866,25131.6154556086,POINT (725187.9999622038 722082.000412941)
60-155-b12-1,155,0,67,8250DB003139,53.23006385,-6.124090471000001,25653.855136756098,POINT (725243.9999653712 721606.0004885466)
60-155-b12-1,155,0,68,8250DB004124,53.22783032,-6.1243828460000005,25907.935436237203,POINT (725230.9999906665 721356.9999935051)
60-155-b12-1,155,0,69,8250DB004125,53.22343165,-6.12360158,26432.4991298713,POINT (725295.9999972477 720869.0005120194)
60-155-b12-1,155,0,70,8250DB004126,53.22218317,-6.121948811,26609.3182464848,POINT (725410.0000165784 720732.9996985706)
60-155-b12-1,155,0,71,8250DB004127,53.2187787,-6.119806509,27016.047021526098,POINT (725562.999993972 720357.9995372533)
60-155-b12-1,155,0,72,8250DB004128,53.21592353,-6.119437408,27333.0286890307,POINT (725595.99996486 720041.0002421964)
60-155-b12-1,155,0,73,8350DB004129,53.21085564,-6.117263737999999,27934.245575741203,POINT (725755.9999700076 719481.0000957813)
60-155-b12-1,155,0,74,8350DB004130,53.2072818,-6.113512847999999,28408.338564242204,POINT (726016.9999749359 719090.0004785456)
60-155-b12-1,155,0,75,8350DB004131,53.20652979,-6.111434922999999,28566.8443555678,POINT (726157.9999847194 719009.9998772299)
60-155-b12-1,155,0,76,8350DB007294,53.20472445,-6.109253737,28828.740708986603,POINT (726308.9999976171 718812.9995655792)
60-155-b12-1,155,0,77,8350DB004156,53.20496738,-6.103614006,29247.5553078808,POINT (726685.0000283493 718849.9996710317)
60-155-b12-1,155,0,78,8350DB004168,53.20443166,-6.101017799,29471.1417675166,POINT (726859.9999575212 718795.0004620658)
